Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
JORGE JUAN;74903;17;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3692466661970113, 39.46918995327249], ""type"": ""Point""}";39.46918995327249, -0.3692466661970113
JORGE JUAN;74904;26;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36881730598859824, 39.46833841553435], ""type"": ""Point""}";39.46833841553435, -0.36881730598859824
MOTILLA DEL PALANCAR;74907;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36962060651949113, 39.48980996691022], ""type"": ""Point""}";39.48980996691022, -0.36962060651949113
MONTEOLIVETE;74909;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35875129870232597, 39.45937305071165], ""type"": ""Point""}";39.45937305071165, -0.35875129870232597
TRAFALGAR;74914;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3441555000894237, 39.463181163380824], ""type"": ""Point""}";39.463181163380824, -0.3441555000894237
SANTO DOMINGO SAVIO;74918;36;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37465851680885537, 39.494111872647935], ""type"": ""Point""}";39.494111872647935, -0.37465851680885537
PEDRO CABANES;74919;37;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3759890586897062, 39.494739750105865], ""type"": ""Point""}";39.494739750105865, -0.3759890586897062
MAESTRO BELLVER;74921;13;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.391062154171796, 39.46610657748017], ""type"": ""Point""}";39.46610657748017, -0.391062154171796
MARQUES DEL TURIA;74929;41A;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37005825644340923, 39.466530964183995], ""type"": ""Point""}";39.466530964183995, -0.37005825644340923
MARQUES DEL TURIA;74930;29;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37128000205913175, 39.46601997031157], ""type"": ""Point""}";39.46601997031157, -0.37128000205913175
SAN IGNACIO DE LOYOLA;74931;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.388250693933776, 39.4742280619597], ""type"": ""Point""}";39.4742280619597, -0.388250693933776
CONDE DE TORREFIEL;74935;25;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3763199996262003, 39.4940220356401], ""type"": ""Point""}";39.4940220356401, -0.3763199996262003
CAMPANAR;74936;32;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3922723850228703, 39.483134714076805], ""type"": ""Point""}";39.483134714076805, -0.3922723850228703
SAFOR;74940;6;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39831617942452957, 39.49091170079479], ""type"": ""Point""}";39.49091170079479, -0.39831617942452957
ANDRES MANCEBO;74942;40;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35583759184353764, 39.46421759804336], ""type"": ""Point""}";39.46421759804336, -0.35583759184353764
