Tipus / Tipo;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
A - Horquilla;269177;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39861956455733005, 39.48457783404432], ""type"": ""Point""}";39.48457783404432, -0.39861956455733005
A - Horquilla;269178;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39856844876504627, 39.484597707265976], ""type"": ""Point""}";39.484597707265976, -0.39856844876504627
A - Horquilla;269179;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39839914556853334, 39.48466899632494], ""type"": ""Point""}";39.48466899632494, -0.39839914556853334
A - Horquilla;269181;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3975721237680297, 39.48499731651693], ""type"": ""Point""}";39.48499731651693, -0.3975721237680297
A - Horquilla;269183;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3982981102149612, 39.485014321127025], ""type"": ""Point""}";39.485014321127025, -0.3982981102149612
A - Horquilla;265734;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.38809020973438385, 39.49217429503453], ""type"": ""Point""}";39.49217429503453, -0.38809020973438385
A - Horquilla;265739;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37043126099061424, 39.4882203226618], ""type"": ""Point""}";39.4882203226618, -0.37043126099061424
A - Horquilla;265746;12;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3835677940919109, 39.48826233815587], ""type"": ""Point""}";39.48826233815587, -0.3835677940919109
A - Horquilla;265747;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37400125228889025, 39.475820835297114], ""type"": ""Point""}";39.475820835297114, -0.37400125228889025
A - Horquilla;265753;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3851285406868867, 39.47049730217879], ""type"": ""Point""}";39.47049730217879, -0.3851285406868867
