gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
97990;X004511;37020;13;19950111;;0;RE;CARRER IMPRESSOR MONTFORT 13;47;3.0;"{""coordinates"": [-0.3942180004002191, 39.4622100004099], ""type"": ""Point""}";39.4622100004099, -0.3942180004002191
97992;X004515;81181;12;19950213;;0;RE;CARRER EMILI LLUCH 12;190;7.0;"{""coordinates"": [-0.4025115001394253, 39.46228199977201], ""type"": ""Point""}";39.46228199977201, -0.4025115001394253
97996;X004508;3750;9;19880229;;0;CO;CARRER ALQUERIA DE L'ESTRELLA 9;42;5.0;"{""coordinates"": [-0.38330100003433865, 39.485339999733135], ""type"": ""Point""}";39.485339999733135, -0.38330100003433865
97997;X004519;37710;54;19950124;;5;RE;CARRER JACOMART 54;5;3.0;"{""coordinates"": [-0.3777389040408722, 39.49644365490846], ""type"": ""Point""}";39.49644365490846, -0.3777389040408722
97999;X004520;60780;8;19941216;;4;RE;ENTRADOR PONCE 8;4;3.0;"{""coordinates"": [-0.36809549956049864, 39.44497499982946], ""type"": ""Point""}";39.44497499982946, -0.36809549956049864
98000;X004517;40170;91;19941128;;0;RE;CARRER JUAN RAMON JIMÉNEZ 91;39;5.0;"{""coordinates"": [-0.3718664997856896, 39.44909699958639], ""type"": ""Point""}";39.44909699958639, -0.3718664997856896
98005;X004529;63090;59;19950127;;0;CO;AVINGUDA REAL DE MADRID 59;9;3.5;"{""coordinates"": [-0.39169349953156535, 39.432374999753215], ""type"": ""Point""}";39.432374999753215, -0.39169349953156535
98008;X004531;81442;3;19950117;;0;RE;CARRER VICENT BARRERA CAMBRA 3;178;3.0;"{""coordinates"": [-0.3568851672331873, 39.48100321241545], ""type"": ""Point""}";39.48100321241545, -0.3568851672331873
98018;X004547;37350;133;19950209;;0;RE;CARRER ISABEL DE VILLENA 133;1;3.5;"{""coordinates"": [-0.32573552600282635, 39.47939376226252], ""type"": ""Point""}";39.47939376226252, -0.32573552600282635
98019;X004546;63960;14;19950215;;0;RE;CARRER REVEREND RAFAEL TRAMOYERES 14;3;3.5;"{""coordinates"": [-0.36111599992957205, 39.48499799992111], ""type"": ""Point""}";39.48499799992111, -0.36111599992957205
98020;X004549;18540;4;19950309;;0;RE;CARRER CIRIL AMORÓS 4;24;3.0;"{""coordinates"": [-0.37395900009951644, 39.4661610003793], ""type"": ""Point""}";39.4661610003793, -0.37395900009951644
98021;X004548;17820;122;19950209;;0;RE;CARRER CAVITE 122;2;3.0;"{""coordinates"": [-0.3266504999577761, 39.48072300043236], ""type"": ""Point""}";39.48072300043236, -0.3266504999577761
98030;X004561;26250;10;19950210;;0;RE;CARRER EDUARD GONZÁLEZ 10;1;3.0;"{""coordinates"": [-0.3888404998354688, 39.453587999853546], ""type"": ""Point""}";39.453587999853546, -0.3888404998354688
