Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
DOCTOR WAKSMAN;257152;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3680385319615097, 39.45531106112393], ""type"": ""Point""}";39.45531106112393, -0.3680385319615097
RUAYA;257154;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3784209801658287, 39.485479445547796], ""type"": ""Point""}";39.485479445547796, -0.3784209801658287
RUAYA;257155;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3782851154874012, 39.48563795270702], ""type"": ""Point""}";39.48563795270702, -0.3782851154874012
IGLESIA DEL ROSARIO;257159;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.32819153551391417, 39.46445312072693], ""type"": ""Point""}";39.46445312072693, -0.32819153551391417
YA-EZ DE LA ALMEDINA;257166;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33421503237969274, 39.4750570267258], ""type"": ""Point""}";39.4750570267258, -0.33421503237969274
PINTOR MAELLA;257167;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34698410644802014, 39.462674083694125], ""type"": ""Point""}";39.462674083694125, -0.34698410644802014
PLATA;257168;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3655844900910117, 39.4558266640626], ""type"": ""Point""}";39.4558266640626, -0.3655844900910117
PLATA;257169;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36428209631709246, 39.45607992134092], ""type"": ""Point""}";39.45607992134092, -0.36428209631709246
MAESTRO VALLS;257170;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3426940387028861, 39.46328881462481], ""type"": ""Point""}";39.46328881462481, -0.3426940387028861
VALDELINARES;257174;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.394686744476447, 39.48152773635449], ""type"": ""Point""}";39.48152773635449, -0.394686744476447
SAN VICENTE DE PAUL;257175;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.366249342370165, 39.49404735379998], ""type"": ""Point""}";39.49404735379998, -0.366249342370165
GODELLA;257177;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3832103003181068, 39.497861393626984], ""type"": ""Point""}";39.497861393626984, -0.3832103003181068
RIO NERVION;257178;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3834995736757782, 39.495355739273954], ""type"": ""Point""}";39.495355739273954, -0.3834995736757782
SAN MIGUEL;257183;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3802557030637217, 39.47667035546729], ""type"": ""Point""}";39.47667035546729, -0.3802557030637217
SAN JOSE ARTESANO;257184;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39199976217132254, 39.50004049588726], ""type"": ""Point""}";39.50004049588726, -0.39199976217132254
SAN JOSE ARTESANO;257185;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39153495762455437, 39.50032818044775], ""type"": ""Point""}";39.50032818044775, -0.39153495762455437
MONFORTE;257186;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36581065796590534, 39.47695204534148], ""type"": ""Point""}";39.47695204534148, -0.36581065796590534
JUAN XXIII;257190;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3821299752890105, 39.49076140332494], ""type"": ""Point""}";39.49076140332494, -0.3821299752890105
GAYANO LLUCH;257191;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38068040152694693, 39.49105357405457], ""type"": ""Point""}";39.49105357405457, -0.38068040152694693
GAYANO LLUCH;257192;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38083078347146837, 39.49145800768418], ""type"": ""Point""}";39.49145800768418, -0.38083078347146837
CARMELO RODA;257205;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3918272395011626, 39.49927946213806], ""type"": ""Point""}";39.49927946213806, -0.3918272395011626
CARMELO RODA;257206;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3914136314789115, 39.49953719720263], ""type"": ""Point""}";39.49953719720263, -0.3914136314789115
CARMELO RODA;257207;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39098340428692563, 39.499802989788435], ""type"": ""Point""}";39.499802989788435, -0.39098340428692563
